"Book/Chapter","ASV","BBE","KJV","WEB","YLT"
"Genesis 1","785","814","797","760","822"
"Genesis 2","625","647","632","612","636"
"Genesis 3","693","714","695","659","717"
"Genesis 4","623","660","632","591","638"
"Genesis 5","505","594","505","540","524"
"Genesis 6","565","547","579","538","581"
"Genesis 7","576","526","584","525","620"
"Genesis 8","576","520","586","538","604"
"Genesis 9","652","624","658","616","653"
"Genesis 10","492","513","496","444","505"
"Genesis 11","594","696","606","617","616"
"Genesis 12","531","515","536","498","529"
"Genesis 13","453","447","457","431","447"
"Genesis 14","597","630","607","580","606"
"Genesis 15","467","465","471","431","475"
"Genesis 16","412","435","412","401","426"
"Genesis 17","687","695","679","657","665"
"Genesis 18","852","864","867","809","876"
"Genesis 19","1091","1090","1108","1035","1135"
"Genesis 20","503","499","498","477","510"
"Genesis 21","777","755","775","750","781"
"Genesis 22","617","626","629","577","622"
"Genesis 23","546","486","539","525","525"
"Genesis 24","1807","1745","1816","1684","1865"
"Genesis 25","694","689","706","633","705"
"Genesis 26","873","902","889","833","886"
"Genesis 27","1259","1261","1262","1171","1289"
"Genesis 28","614","608","621","586","613"
"Genesis 29","833","883","829","771","875"
"Genesis 30","1007","1028","1022","943","1062"
"Genesis 31","1418","1419","1417","1378","1462"
"Genesis 32","791","806","794","771","821"
"Genesis 33","509","498","508","499","530"
"Genesis 34","790","807","790","758","806"
"Genesis 35","663","688","664","636","682"
"Genesis 36","848","784","845","815","814"
"Genesis 37","941","943","942","901","955"
"Genesis 38","823","845","819","764","862"
"Genesis 39","656","558","666","605","683"
"Genesis 40","583","558","580","547","608"
"Genesis 41","1402","1423","1404","1361","1417"
"Genesis 42","970","1058","977","936","984"
"Genesis 43","938","940","938","890","966"
"Genesis 44","880","853","874","839","926"
"Genesis 45","731","739","731","687","775"
"Genesis 46","767","729","766","697","757"
"Genesis 47","978","939","965","939","1015"
"Genesis 48","639","670","639","612","654"
"Genesis 49","764","788","766","738","725"
"Genesis 50","691","721","687","650","703"
"Exodus 1","454","481","457","433","475"
"Exodus 2","652","684","657","627","671"
"Exodus 3","785","768","791","737","780"
"Exodus 4","878","925","891","815","922"
"Exodus 5","585","637","594","574","600"
"Exodus 6","735","752","753","708","745"
"Exodus 7","679","723","692","648","699"
"Exodus 8","916","964","936","885","932"
"Exodus 9","955","1018","982","931","978"
"Exodus 10","878","928","899","850","912"
"Exodus 11","314","326","325","302","324"
"Exodus 12","1456","1474","1493","1416","1467"
"Exodus 13","662","709","675","647","666"
"Exodus 14","913","930","931","873","921"
"Exodus 15","688","733","713","667","685"
"Exodus 16","1033","1080","1062","988","1055"
"Exodus 17","449","486","465","426","469"
"Exodus 18","729","738","760","717","737"
"Exodus 19","675","755","702","645","708"
"Exodus 20","552","605","561","575","566"
"Exodus 21","883","1004","893","860","881"
"Exodus 22","776","946","790","775","751"
"Exodus 23","837","946","827","809","858"
"Exodus 24","475","486","492","446","485"
"Exodus 25","918","750","926","855","878"
"Exodus 26","933","782","937","906","927"
"Exodus 27","561","473","558","539","533"
"Exodus 28","1239","1125","1235","1237","1167"
"Exodus 29","1299","1298","1341","1259","1335"
"Exodus 30","949","910","970","911","892"
"Exodus 31","434","435","438","409","420"
"Exodus 32","1074","1077","1092","1033","1060"
"Exodus 33","710","721","710","665","719"
"Exodus 34","1004","1039","1004","966","1027"
"Exodus 35","797","783","820","748","798"
"Exodus 36","902","804","892","868","932"
"Exodus 37","734","577","738","666","686"
"Exodus 38","840","760","831","780","807"
"Exodus 39","1034","928","1030","964","1015"
"Exodus 40","789","769","821","763","801"
"Leviticus 1","504","542","525","484","521"
"Leviticus 2","459","442","487","456","427"
"Leviticus 3","484","525","511","476","482"
"Leviticus 4","1080","1117","1157","1081","1192"
"Leviticus 5","687","655","723","683","710"
"Leviticus 6","840","912","892","843","830"
"Leviticus 7","983","1030","1057","993","985"
"Leviticus 8","959","1027","988","931","1012"
"Leviticus 9","585","649","624","589","630"
"Leviticus 10","617","682","628","618","625"
"Leviticus 11","1096","1097","1115","1040","1150"
"Leviticus 12","248","261","262","238","262"
"Leviticus 13","1851","1831","1857","1774","1875"
"Leviticus 14","1665","1764","1713","1646","1674"
"Leviticus 15","907","953","919","868","932"
"Leviticus 16","1100","1168","1157","1095","1151"
"Leviticus 17","533","508","553","529","533"
"Leviticus 18","659","680","667","645","675"
"Leviticus 19","887","990","898","883","892"
"Leviticus 20","833","860","836","813","851"
"Leviticus 21","581","633","587","574","577"
"Leviticus 22","866","936","880","853","878"
"Leviticus 23","1169","1256","1222","1163","1087"
"Leviticus 24","538","576","551","509","520"
"Leviticus 25","1518","1544","1532","1481","1524"
"Leviticus 26","1246","1322","1246","1217","1262"
"Leviticus 27","935","979","956","914","901"
"Numbers 1","1275","1051","1333","1223","1255"
"Numbers 2","823","610","828","742","721"
"Numbers 3","1248","1165","1291","1177","1213"
"Numbers 4","1349","1200","1416","1296","1396"
"Numbers 5","904","789","898","884","939"
"Numbers 6","702","698","742","710","721"
"Numbers 7","1825","1890","1939","1884","1899"
"Numbers 8","683","704","687","664","696"
"Numbers 9","687","738","722","663","685"
"Numbers 10","880","878","891","838","845"
"Numbers 11","1022","1061","1056","989","1055"
"Numbers 12","377","410","384","360","394"
"Numbers 13","754","742","742","737","747"
"Numbers 14","1175","1263","1180","1155","1205"
"Numbers 15","1018","1092","1068","1026","1026"
"Numbers 16","1304","1379","1341","1260","1320"
"Numbers 17","327","342","335","313","340"
"Numbers 18","1084","1125","1111","1068","1063"
"Numbers 19","681","734","683","673","713"
"Numbers 20","775","801","791","754","783"
"Numbers 21","915","952","931","885","918"
"Numbers 22","1188","1234","1201","1141","1210"
"Numbers 23","731","813","743","699","763"
"Numbers 24","625","684","660","591","639"
"Numbers 25","446","481","445","435","449"
"Numbers 26","1434","1402","1446","1382","1369"
"Numbers 27","595","572","610","579","603"
"Numbers 28","723","792","779","734","667"
"Numbers 29","837","955","954","870","824"
"Numbers 30","501","462","503","506","519"
"Numbers 31","1189","1171","1208","1123","1249"
"Numbers 32","1019","1040","1009","1008","1032"
"Numbers 33","924","1102","928","881","925"
"Numbers 34","614","605","630","608","620"
"Numbers 35","958","983","965","944","963"
"Numbers 36","439","437","445","432","442"
"Deuteronomy 1","1240","1313","1262","1223","1244"
"Deuteronomy 2","1010","1034","1021","995","1032"
"Deuteronomy 3","820","853","815","811","818"
"Deuteronomy 4","1475","1589","1503","1466","1524"
"Deuteronomy 5","899","966","921","891","917"
"Deuteronomy 6","627","694","643","619","633"
"Deuteronomy 7","839","875","843","832","868"
"Deuteronomy 8","548","618","566","545","584"
"Deuteronomy 9","936","988","963","925","974"
"Deuteronomy 10","576","655","604","565","612"
"Deuteronomy 11","937","939","950","925","959"
"Deuteronomy 12","1043","1142","1055","1045","1064"
"Deuteronomy 13","623","618","627","621","632"
"Deuteronomy 14","700","752","707","701","709"
"Deuteronomy 15","684","761","707","676","709"
"Deuteronomy 16","695","736","710","691","696"
"Deuteronomy 17","710","694","707","706","721"
"Deuteronomy 18","591","652","611","582","597"
"Deuteronomy 19","604","674","608","600","633"
"Deuteronomy 20","636","626","646","634","661"
"Deuteronomy 21","734","745","731","724","764"
"Deuteronomy 22","899","923","894","908","933"
"Deuteronomy 23","680","641","685","679","698"
"Deuteronomy 24","675","726","681","672","697"
"Deuteronomy 25","553","542","562","551","565"
"Deuteronomy 26","661","714","667","654","671"
"Deuteronomy 27","592","639","599","570","603"
"Deuteronomy 28","2066","2094","2075","2058","2049"
"Deuteronomy 29","834","833","851","831","865"
"Deuteronomy 30","648","673","665","643","673"
"Deuteronomy 31","1017","1039","1041","997","1022"
"Deuteronomy 32","1309","1336","1306","1260","1244"
"Deuteronomy 33","779","832","805","727","766"
"Deuteronomy 34","312","334","320","304","317"
"Joshua 1","562","561","573","555","573"
"Joshua 2","775","763","768","756","806"
"Joshua 3","573","575","566","556","579"
"Joshua 4","705","678","706","683","731"
"Joshua 5","548","534","550","525","557"
"Joshua 6","889","893","904","866","916"
"Joshua 7","927","953","926","907","931"
"Joshua 8","1202","1176","1221","1176","1206"
"Joshua 9","794","803","800","771","813"
"Joshua 10","1390","1378","1393","1366","1423"
"Joshua 11","695","703","717","685","715"
"Joshua 12","471","492","486","469","473"
"Joshua 13","824","809","825","830","821"
"Joshua 14","469","494","485","462","482"
"Joshua 15","1040","1030","1032","1044","1057"
"Joshua 16","267","258","253","270","259"
"Joshua 17","663","657","660","649","663"
"Joshua 18","762","771","770","765","781"
"Joshua 19","955","882","944","962","944"
"Joshua 20","307","364","308","303","321"
"Joshua 21","1010","890","1026","993","1039"
